Grupo;Homens;Mulheres
Mais de 100 anos;9;19
95 a 99 anos;37;130
90 a 94 anos;199;438
85 a 89 anos;311;607
80 a 84 anos;306;651
75 a 79 anos;270;447
70 a 74 anos;38;50
65 a 69 anos;15;24
60 a 64 anos;10;17
55 a 59 anos;2;21
50 a 54 anos;2;20
45 a 49 anos;6;27
40 a 44 anos;8;34
35 a 39 anos;2;13
30 a 34 anos;5;13
25 a 29 anos;3;13
20 a 24 anos;0;2
15 a 19 anos;0;0
10 a 14 anos;0;0
5 a 9 anos;0;0
0 a 4 anos;0;0
