Grupo;Homens;Mulheres
Mais de 100 anos;1;17
95 a 99 anos;18;80
90 a 94 anos;123;315
85 a 89 anos;651;1381
80 a 84 anos;1383;2583
75 a 79 anos;2297;3493
70 a 74 anos;2674;3909
65 a 69 anos;1020;1437
60 a 64 anos;127;181
55 a 59 anos;114;267
50 a 54 anos;117;268
45 a 49 anos;126;280
40 a 44 anos;149;412
35 a 39 anos;163;367
30 a 34 anos;100;332
25 a 29 anos;107;303
20 a 24 anos;66;158
15 a 19 anos;9;14
10 a 14 anos;0;0
5 a 9 anos;0;0
0 a 4 anos;0;0
